,value.AgeGroup,value.Subject,value.StudyNo,value.PrimeInstruction,value.totalitems,value.correctitems,value.wrongitems,value.targetacc,value.rtrials,value.ptrials,value.btrials,value.utrials,value.rcorrecttrials,value.pcorrecttrials,value.bcorrecttrials,value.ucorrecttrials,value.racc,value.pacc,value.bacc,value.uacc,value.rmcq,value.pmcq,value.bmcq,value.umcq,value.r_know,value.r_dontknow,value.r_other,value.r_TOT,value.p_know,value.p_dontknow,value.p_other,value.p_TOT,value.b_know,value.b_dontknow,value.b_other,value.b_TOT,value.u_know,value.u_dontknow,value.u_other,value.u_TOT,value.correct_r,value.correct_p,value.correct_b,value.correct_u,value.wrong_r,value.wrong_p,value.wrong_b,value.wrong_u,value.wrong_r_r,value.wrong_r_p,value.wrong_r_b,value.wrong_r_u,value.wrong_r_x,value.wrong_p_r,value.wrong_p_p,value.wrong_p_b,value.wrong_p_u,value.wrong_p_x,value.wrong_b_r,value.wrong_b_p,value.wrong_b_b,value.wrong_b_u,value.wrong_b_x,value.wrong_u_r,value.wrong_u_p,value.wrong_u_b,value.wrong_u_u,value.wrong_u_x,value.prop_r_r,value.prop_r_p,value.prop_r_b,value.prop_r_u,value.prop_r_x,value.prop_p_r,value.prop_p_p,value.prop_p_b,value.prop_p_u,value.prop_p_x,value.prop_b_r,value.prop_b_p,value.prop_b_b,value.prop_b_u,value.prop_b_x,value.prop_u_r,value.prop_u_p,value.prop_u_b,value.prop_u_u,value.prop_u_x,value.know,value.dontknow,value.other,value.TOT,visible
114,Old,133,4,NoInstruction,100,10,90,0.1,25,25,25,25,1,4,3,2,0.04,0.16,0.12,0.08,0.48,0.64,0.68,0.64,8,14,2,1,5,19,0,1,7,16,1,1,6,19,0,0,12,16,17,16,13,9,8,9,10,0,1,0,2,3,0,5,0,1,6,0,1,0,1,6,0,2,1,0,0.769230769,0,0.076923077,0,0.153846154,0.333333333,0,0.555555556,0,0.111111111,0.75,0,0.125,0,0.125,0.666666667,0,0.222222222,0.111111111,0,26,68,3,3,FALSE
123,Old,134,4,NoInstruction,100,31,69,0.31,25,25,25,25,8,14,7,2,0.32,0.56,0.28,0.08,0.76,0.84,0.76,0.8,12,10,1,2,16,5,2,2,13,8,3,1,7,14,0,4,19,21,19,20,6,4,6,5,3,0,2,0,1,2,0,2,0,0,4,0,2,0,0,2,0,0,0,3,0.5,0,0.333333333,0,0.166666667,0.5,0,0.5,0,0,0.666666667,0,0.333333333,0,0,0.4,0,0,0,0.6,48,37,6,9,FALSE
132,Old,135,4,NoInstruction,100,21,79,0.21,25,25,25,25,3,9,5,4,0.12,0.36,0.2,0.16,0.68,0.76,0.56,0.76,11,8,1,5,14,11,0,0,11,10,0,4,10,14,0,1,17,19,14,19,8,6,11,6,6,0,2,0,0,4,0,1,0,1,2,0,5,0,4,3,0,0,0,3,0.75,0,0.25,0,0,0.666666667,0,0.166666667,0,0.166666667,0.181818182,0,0.454545455,0,0.363636364,0.5,0,0,0,0.5,46,43,1,10,FALSE
141,Old,136,4,NoInstruction,100,31,69,0.31,25,25,25,25,3,11,12,5,0.12,0.44,0.48,0.2,0.6,0.76,0.68,0.8,16,5,2,2,17,4,3,1,20,4,0,1,9,10,2,4,15,19,17,20,10,6,8,5,8,0,1,0,1,2,0,4,0,0,2,0,5,0,1,1,0,2,0,2,0.8,0,0.1,0,0.1,0.333333333,0,0.666666667,0,0,0.25,0,0.625,0,0.125,0.2,0,0.4,0,0.4,62,23,7,8,FALSE
1,Young,163,5,NotThePrime,100,14,86,0.14,25,25,25,25,4,3,4,3,0.16,0.12,0.16,0.12,0.64,0.52,0.56,0.52,8,8,5,4,5,11,6,3,9,7,7,2,3,12,8,2,16,13,14,13,9,12,11,12,3,1,5,0,0,5,1,6,0,0,8,2,1,0,0,6,3,3,0,0,0.333333333,0.111111111,0.555555556,0,0,0.416666667,0.083333333,0.5,0,0,0.727272727,0.181818182,0.090909091,0,0,0.5,0.25,0.25,0,0,25,38,26,11,FALSE
2,Young,164,5,NotThePrime,100,34,66,0.34,25,25,25,25,6,10,10,8,0.24,0.4,0.4,0.32,0.84,0.84,0.84,0.88,10,12,2,1,12,4,2,7,13,3,4,5,6,9,2,8,21,21,21,22,4,4,4,3,1,0,3,0,0,3,0,0,1,0,2,0,2,0,0,1,0,2,0,0,0.25,0,0.75,0,0,0.75,0,0,0.25,0,0.5,0,0.5,0,0,0.333333333,0,0.666666667,0,0,41,28,10,21,FALSE
3,Young,165,5,NotThePrime,100,14,86,0.14,25,25,25,25,4,6,2,2,0.16,0.24,0.08,0.08,0.36,0.88,0.6,0.36,10,5,1,9,6,11,0,8,9,5,3,8,5,11,3,6,9,22,15,9,16,3,10,16,11,0,4,1,0,2,0,1,0,0,2,1,7,0,0,7,1,7,1,0,0.6875,0,0.25,0.0625,0,0.666666667,0,0.333333333,0,0,0.2,0.1,0.7,0,0,0.4375,0.0625,0.4375,0.0625,0,30,32,7,31,FALSE
4,Young,166,5,NotThePrime,100,25,75,0.25,25,25,25,25,5,13,5,2,0.2,0.52,0.2,0.08,0.72,0.72,0.84,0.64,5,11,3,6,13,3,5,4,7,8,8,2,5,9,6,5,18,18,21,16,7,7,4,9,1,0,6,0,0,1,0,6,0,0,4,0,0,0,0,5,0,4,0,0,0.142857143,0,0.857142857,0,0,0.142857143,0,0.857142857,0,0,1,0,0,0,0,0.555555556,0,0.444444444,0,0,30,31,22,17,FALSE
5,Young,167,5,NotThePrime,100,11,89,0.11,25,25,25,25,5,2,2,2,0.2,0.08,0.08,0.08,0.76,0.6,0.72,0.6,10,4,5,6,4,9,6,6,6,5,11,3,7,8,10,0,19,15,18,15,6,10,7,10,1,0,5,0,0,6,0,3,1,0,3,1,3,0,0,10,0,0,0,0,0.166666667,0,0.833333333,0,0,0.6,0,0.3,0.1,0,0.428571429,0.142857143,0.428571429,0,0,1,0,0,0,0,27,26,32,15,FALSE
6,Young,168,5,NotThePrime,100,46,54,0.46,25,25,25,25,9,10,14,13,0.36,0.4,0.56,0.52,0.92,0.84,0.88,0.88,12,3,5,5,19,2,4,0,18,3,1,3,20,2,2,1,23,21,22,22,2,4,3,3,1,0,1,0,0,3,0,1,0,0,1,0,2,0,0,2,0,1,0,0,0.5,0,0.5,0,0,0.75,0,0.25,0,0,0.333333333,0,0.666666667,0,0,0.666666667,0,0.333333333,0,0,69,10,12,9,FALSE
7,Young,169,5,NotThePrime,100,25,75,0.25,25,25,25,25,4,5,7,9,0.16,0.2,0.28,0.36,0.84,0.8,0.84,0.8,9,12,1,3,10,6,4,5,8,9,3,5,12,7,3,3,21,20,21,20,4,5,4,5,2,0,2,0,0,2,0,2,1,0,3,0,1,0,0,3,0,2,0,0,0.5,0,0.5,0,0,0.4,0,0.4,0.2,0,0.75,0,0.25,0,0,0.6,0,0.4,0,0,39,34,11,16,FALSE
8,Young,170,5,NotThePrime,100,20,80,0.2,25,25,25,25,6,11,3,0,0.24,0.44,0.12,0,0.72,0.76,0.84,0.76,11,12,2,0,13,6,3,3,9,12,2,2,8,13,3,1,18,19,21,19,7,6,4,6,5,0,2,0,0,0,1,5,0,0,4,0,0,0,0,3,1,1,1,0,0.714285714,0,0.285714286,0,0,0,0.166666667,0.833333333,0,0,1,0,0,0,0,0.5,0.166666667,0.166666667,0.166666667,0,41,43,10,6,FALSE
9,Young,171,5,NotThePrime,100,22,78,0.22,25,25,25,25,9,5,6,2,0.36,0.2,0.24,0.08,0.68,0.8,0.84,0.44,12,3,4,6,10,4,3,8,8,9,5,3,2,8,8,7,17,20,21,11,8,5,4,14,3,1,4,0,0,4,0,1,0,0,2,0,2,0,0,10,0,4,0,0,0.375,0.125,0.5,0,0,0.8,0,0.2,0,0,0.5,0,0.5,0,0,0.714285714,0,0.285714286,0,0,32,24,20,24,FALSE
10,Young,172,5,NotThePrime,100,7,93,0.07,25,25,25,25,1,1,2,3,0.04,0.04,0.08,0.12,0.64,0.64,0.72,0.52,2,7,13,3,1,12,8,4,5,11,6,3,1,14,4,6,16,16,18,13,9,9,7,12,4,0,5,0,0,5,0,4,0,0,3,0,4,0,0,5,1,6,0,0,0.444444444,0,0.555555556,0,0,0.555555556,0,0.444444444,0,0,0.428571429,0,0.571428571,0,0,0.416666667,0.083333333,0.5,0,0,9,44,31,16,FALSE
11,Young,173,5,NotThePrime,100,9,91,0.09,25,25,25,25,3,2,2,2,0.12,0.08,0.08,0.08,0.56,0.68,0.64,0.4,11,12,0,2,9,11,2,3,6,8,7,4,9,11,3,2,14,17,16,10,11,8,9,15,2,1,8,0,0,4,0,4,0,0,9,0,0,0,0,8,0,7,0,0,0.181818182,0.090909091,0.727272727,0,0,0.5,0,0.5,0,0,1,0,0,0,0,0.533333333,0,0.466666667,0,0,35,42,12,11,FALSE
12,Young,174,5,NotThePrime,100,44,56,0.44,25,25,25,25,14,17,7,6,0.56,0.68,0.28,0.24,0.8,0.88,0.76,0.68,16,4,4,1,22,2,1,0,16,5,3,1,16,5,3,1,20,22,19,17,5,3,6,8,4,0,1,0,0,2,0,1,0,0,3,0,3,0,0,5,0,3,0,0,0.8,0,0.2,0,0,0.666666667,0,0.333333333,0,0,0.5,0,0.5,0,0,0.625,0,0.375,0,0,70,16,11,3,FALSE
13,Young,175,5,NotThePrime,100,21,79,0.21,25,25,25,25,8,2,10,1,0.32,0.08,0.4,0.04,0.8,0.72,0.64,0.52,11,8,4,2,6,10,5,4,11,8,6,0,4,15,3,3,20,18,16,13,5,7,9,12,4,0,1,0,0,5,0,2,0,0,4,0,5,0,0,9,0,3,0,0,0.8,0,0.2,0,0,0.714285714,0,0.285714286,0,0,0.444444444,0,0.555555556,0,0,0.75,0,0.25,0,0,32,41,18,9,FALSE
